rule_id,vendor_id,service_id,amount_min,amount_max,time_of_month_start,time_of_month_end,gl_code,is_active,created_by,created_at,updated_at,reasoning
130,DOORDASH,,,,,,6170,t,1,2026-03-19 23:30:40.873132,2026-03-19 23:30:40.873132,"All historical DoorDash transactions (10/10) are classified as GL 6170 (Travel Meals Entertainment - Admin). DoorDash is a food delivery service used for employee meals. This covers all DoorDash service variants (DD-MCDNLD, DD-CHIPOT, DD-BANDAB, DD-CHILIS, DD-LOSARI, DD-MIGUEL, DD-LUNAGR, DD-STREET, etc.)."
131,WALMART,,,,,,6160,t,1,2026-03-19 23:30:40.873132,2026-03-19 23:30:40.873132,"All 10 historical Walmart transactions are classified as GL 6160 (Office Supplies & Expenses). Walmart purchases at this agency cover office supplies, groceries for the office, and general equipment. This covers both Walmart.com (WLMRT-COM) and in-store (WALMART-SC) service IDs."
132,GOOGL,GOOGL-ADS,,,,,5030,t,1,2026-03-19 23:30:40.873132,2026-03-19 23:30:40.873132,All historical Google Ads transactions (8/8) are classified as GL 5030 (Marketing & Advertising). Google Ads is a core marketing/lead generation channel for the insurance agency.
133,GOOGL,GOOGL-ONE,,,,,6200,t,1,2026-03-19 23:30:40.873132,2026-03-19 23:30:40.873132,"The one historical Google One transaction (UPL-146, $124.99) was classified as GL 6200 (Computer Internet & Software). Google One is a cloud storage/subscription service, fitting the software subscriptions category. Note: GL hierarchy also lists Google One under 6130 (Dues & Subscriptions), but historical precedent points to 6200."
134,OPENAI,,,,,,6200,t,1,2026-03-19 23:30:40.873132,2026-03-19 23:30:40.873132,All 6 historical OpenAI/ChatGPT transactions are classified as GL 6200 (Computer Internet & Software). OpenAI ChatGPT subscriptions are software subscriptions.
135,RICONO,,,,,,6100,t,1,2026-03-19 23:30:40.873132,2026-03-19 23:30:40.873132,All 4 historical Ricono Accounting transactions are classified as GL 6100 (Accounting). Ricono is explicitly listed in the GL hierarchy description for accounting services.
136,WAVE,,,,,,6115,t,1,2026-03-19 23:30:40.873132,2026-03-19 23:30:40.873132,"All 3 historical Wave Financial (MEDTECH CONS) transactions are classified as GL 6115 (Outside Services). These are large recurring payments (~$3,500/month) for contracted consulting/services via Wave payment platform."
137,SIRCON,,,,,,6120,t,1,2026-03-19 23:30:40.873132,2026-03-19 23:30:40.873132,"All 5 historical Sircon transactions are classified as GL 6120 (Licenses & Permits). Sircon (Vertafore) provides state insurance licensing and agent registration services, which aligns perfectly with the GL description."
138,ATT,,,,,,6250,t,1,2026-03-19 23:30:40.873132,2026-03-19 23:30:40.873132,All 4 historical AT&T transactions are classified as GL 6250 (Telephone). AT&T is explicitly listed in the GL hierarchy description for telephone service.
139,WALTONEMC,,,,,,6260,t,1,2026-03-19 23:30:40.873132,2026-03-19 23:30:40.873132,All 4 historical Walton EMC transactions are classified as GL 6260 (Utilities). Walton EMC is an electric membership corporation — an electric utility provider.
